Year,Beijing,Tianjin,Chongqing,Shanghai
1998,2377.18,1374.6,1602.38,3801.09
1999,2678.82,1500.95,1663.2,4188.73
2000,3161.66,1701.88,1791,4771.17
2001,3707.96,1919.09,1976.86,5210.12
2002,4315,2150.76,2232.86,5741.03
2003,5007.21,2578.03,2555.72,6694.23
2004,6033.21,3110.97,3034.58,8072.83
2005,6969.52,3905.64,3467.72,9247.66
2006,8117.78,4462.74,3907.23,10572.24
2007,9846.81,5252.76,4676.13,12494.01
2008,11115,6719.01,5793.66,14069.86
2009,12153.03,7621.85,6530.01,15046.45
2010,14113.58,9224.46,7925.58,17165.98
2011,16251.93,11307.28,10011.37,19195.69
2012,17879.4,12893.88,11409.6,20181.72
2013,19800.81,14442.01,12783.26,21818.15
2014,21330.83,15726.93,14262.6,23567.7
2015,23014.59,16538.19,15717.27,25123.45
2016,25669.13,17885.39,17740.59,28178.65
2017,28014.94,18549.19,19424.73,30632.99